,hotel,office
277,-125.9036752,0
278,-126.2444267,0
279,-118.4827373,0
280,-108.9709574,0
281,-126.4622484,0
282,-170.473017,0
283,-179.1281412,0
284,-203.0407241,0
285,-240.9001293,0
286,-193.6023091,0
287,-135.6360813,0
288,-112.433107,0
289,-96.95205814,0
290,-89.66258584,0
291,-86.30286529,0
292,-93.66295467,0
293,-115.6199542,0
294,-186.0299611,0
295,-244.9148641,0
296,-183.7221536,0
297,-156.5242821,0
298,-130.3310661,0
299,-129.1374565,0
300,-121.3788767,0
301,-117.6213341,0
302,-117.7542827,0
303,-122.626021,0
304,-120.7498738,0
305,-150.6681243,0
306,-198.9144897,0
307,-200.1134684,0
308,-215.8065095,0
309,-249.8708422,0
310,-205.1415356,0
311,-147.5183457,0
312,-126.0466572,0
313,-114.1394344,0
314,-106.1843191,0
315,-103.3137999,0
316,-108.1346003,0
317,-114.0855202,0
318,-137.6373103,0
319,-198.5908548,0
320,-261.4013366,0
321,-220.9569194,0
322,-165.2082444,0
323,-151.0940138,0
324,-133.8859663,0
325,-131.8891408,0
326,-132.6464908,0
327,-126.19406,0
328,-114.7045697,0
329,-133.7406216,0
330,-169.361642,0
331,-206.2741127,0
332,-230.4233369,0
333,-234.2865,0
334,-226.5225942,0
335,-166.4784981,0
336,-132.7180525,0
337,-118.9296573,0
338,-112.845599,0
339,-104.3228584,0
340,-107.7801278,0
341,-116.5384618,0
342,-141.7398299,0
343,-203.047341,0
344,-262.0121302,0
345,-231.0611679,0
346,-180.3642459,0
347,-163.9748901,0
348,-152.597274,0
349,-171.9939263,0
350,-158.3348097,0
351,-143.4968327,0
352,-130.1467915,0
353,-148.5047957,0
354,-181.1598574,0
355,-215.6729404,0
356,-238.6057996,0
357,-242.4743891,0
358,-237.616481,0
359,-174.1727306,0
360,-138.1152407,0
361,-120.3125547,0
362,-111.7987535,0
363,-107.6682209,0
364,-111.7951722,0
365,-118.5309873,0
366,-142.8399571,0
367,-202.1980379,0
368,-261.7642495,0
369,-219.907028,0
370,-164.3427608,0
371,-144.3183252,0
372,-131.2214948,0
373,-143.5478032,0
374,-160.5877745,0
375,-164.2390476,0
376,-142.3046894,0
377,-149.8150449,0
378,-175.9837662,0
379,-208.9468232,0
380,-229.994807,0
381,-231.8951144,0
382,-223.917359,0
383,-164.135873,0
384,-128.4183829,0
385,-110.8359582,0
386,-103.6198221,0
387,-99.48774755,0
388,-101.9497201,0
389,-120.4305012,0
390,-189.3122323,0
391,-248.7889598,0
392,-193.8094387,0
393,-178.9411515,0
394,-167.9897507,0
395,-135.3757117,0
396,-137.5040199,0
397,-144.8013921,0
398,-145.4988121,0
399,-142.6440903,0
400,-133.2496711,0
401,-155.5997188,0
402,-201.3203796,0
403,-202.3262364,0
404,-221.8287644,0
405,-258.0439251,0
406,-208.5886886,0
407,-151.6508112,0
408,-129.6138911,0
409,-113.7593013,0
