,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
6303,-80.92198327,-1.707287869,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188,-0.491729188
6304,-121.2516359,-0.861002154,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042,-0.584866042
6305,-223.3560072,-0.860845621,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387,-0.671758387
6306,-162.8851274,-0.860617036,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328,-0.686256328
6307,-166.8913428,-1.364122112,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918,-0.635270918
6308,-239.5084558,-1.309268105,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371,-0.573398371
6309,-183.2810655,-0.860355028,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337,-0.474593337
6310,-105.2589058,-0.0156,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996,-0.368617996
6311,-77.72455351,-0.8603222,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141,-0.256112141
6312,-61.01873194,-0.0156,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316,-0.205792316
6313,-63.46363713,-0.0156,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236,-0.193694236
6314,-69.286353,-0.860322371,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597,-0.200180597
6315,-87.2316051,-0.0156,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088,-0.242408088
6316,-148.5352889,-0.860233722,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716,-0.424920716
6317,-250.4099568,-9.791944867,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217,-0.780926217
6318,-326.7170111,-8.912145466,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826,-0.858625826
6319,-246.5441719,-3.496191951,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704,-0.833444704
6320,-182.4733379,-2.338699058,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471,-0.757274471
6321,-149.7212841,-0.929654137,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105,-0.667840105
6322,-107.99956,-2.168890044,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151,-0.585833151
6323,-107.846162,-2.092850963,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355,-0.521889355
6324,-107.7038724,-1.708066546,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671,-0.483427671
