Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0.569,,,212.4859653,,,,,
0.57,,,212.6459173,,,,,
0.571,,,212.8058317,,,,,
0.572,,,212.9657101,,,,,
0.573,,,213.1255547,,,,,
0.574,,,213.2853671,,,,,
0.575,,,213.4451493,,,,,
0.576,,,213.6049031,,,,,
0.577,,,213.7646305,,,,,
0.578,,,213.9243332,,,,,
0.579,,,214.0840131,,,,,
0.58,,,214.243672,,,,,
0.581,,,214.4033118,,,,,
0.582,,,214.5629344,,,,,
0.583,,,214.7225415,,,,,
0.584,,,214.8821351,,,,,
0.585,,,215.0417168,,,,,
0.586,,,215.2012886,,,,,
0.587,,,215.3608523,,,,,
0.588,,,215.5204096,,,,,
0.589,,,215.6799624,,,,,
0.59,,,215.8395126,,,,,
0.591,,,215.9990619,,,,,
0.592,,,216.158612,,,,,
0.593,,,216.3181649,,,,,
0.594,,,216.4777223,,,,,
0.595,,,216.637286,,,,,
0.596,,,216.7968578,,,,,
0.597,,,216.9564395,,,,,
0.598,,,217.1160328,,,,,
0.599,,,217.2756396,,,,,
0.6,,,217.4352615,,,,,
0.601,,,217.5949005,,,,,
0.602,,,217.7545582,,,,,
0.603,,,217.9142364,,,,,
0.604,,,218.0739369,,,,,
0.605,,,218.2336614,,,,,
0.606,,,218.3934118,,,,,
0.607,,,218.5531896,,,,,
0.608,,,218.7129968,,,,,
0.609,,,218.872835,,,,,
0.61,,,219.0327061,,,,,
0.611,,,219.1926116,,,,,
0.612,,,219.3525534,,,,,
0.613,,,219.5125332,,,,,
0.614,,,219.6725528,,,,,
0.615,,,219.8326138,,,,,
0.616,,,219.992718,,,,,
0.617,,,220.1528671,,,,,
0.618,,,220.3130628,,,,,
0.619,,,220.4733069,,,,,
0.62,,,220.6336011,,,,,
0.621,,,220.793947,,,,,
0.622,,,220.9543465,,,,,
0.623,,,221.1148011,,,,,
0.624,,,221.2753127,,,,,
0.625,,,221.4358828,,,,,
0.626,,,221.5965133,,,,,
0.627,,,221.7572057,,,,,
0.628,,,221.9179619,,,,,
0.629,,,222.0787834,,,,,
0.63,,,222.239672,,,,,
0.631,,,222.4006294,,,,,
0.632,,,222.5616572,,,,,
0.633,,,222.7227571,,,,,
0.634,,,222.8839309,,,,,
0.635,,,223.0451801,,,,,
0.636,,,223.2065065,,,,,
0.637,,,223.3679118,,,,,
0.638,,,223.5293975,,,,,
0.639,,,223.6909654,,,,,
0.64,,,223.8526172,,,,,
0.641,,,224.0143545,,,,,
0.642,,,224.1761789,,,,,
0.643,,,224.3380921,,,,,
0.644,,,224.5000958,,,,,
0.645,,,224.6621917,,,,,
0.646,,,224.8243813,,,,,
0.647,,,224.9866664,,,,,
0.648,,,225.1490486,,,,,
0.649,,,225.3115295,,,,,
0.65,,,225.4741108,,,,,
0.651,,,225.636794,,,,,
0.652,,,225.799581,,,,,
0.653,,,225.9624733,,,,,
0.654,,,226.1254725,,,,,
0.655,,,226.2885802,,,,,
0.656,,,226.4517982,,,,,
0.657,,,226.615128,,,,,
0.658,,,226.7785713,,,,,
0.659,,,226.9421297,,,,,
0.66,,,227.1058047,,,,,
0.661,,,227.2695982,,,,,
0.662,,,227.4335116,,,,,
0.663,,,227.5975466,,,,,
0.664,,,227.7617047,,,,,
0.665,,,227.9259878,,,,,
0.666,,,228.0903972,,,,,
0.667,,,228.2549347,,,,,
0.668,,,228.4196019,,,,,
0.669,,,228.5844003,,,,,
0.67,,,228.7493316,,,,,
0.671,,,228.9143974,,,,,
0.672,,,229.0795994,,,,,
0.673,,,229.244939,,,,,
0.674,,,229.4104179,,,,,
0.675,,,229.5760377,,,,,
0.676,,,229.7418,,,,,
0.677,,,229.9077065,,,,,
0.678,,,230.0737586,,,,,
0.679,,,230.2399581,,,,,
0.68,,,230.4063064,,,,,
0.681,,,230.5728052,,,,,
0.682,,,230.7394561,,,,,
0.683,,,230.9062607,,,,,
0.684,,,231.0732206,,,,,
0.685,,,231.2403372,,,,,
0.686,,,231.4076124,,,,,
0.687,,,231.5750475,,,,,
0.688,,,231.7426442,,,,,
0.689,,,231.9104042,,,,,
0.69,,,232.0783289,,,,,
0.691,,,232.2464199,,,,,
0.692,,,232.4146789,,,,,
0.693,,,232.5831074,,,,,
0.694,,,232.751707,,,,,
0.695,,,232.9204793,,,,,
0.696,,,233.0894258,,,,,
0.697,,,233.2585481,,,,,
0.698,,,233.4278478,,,,,
0.699,,,233.5973264,,,,,
0.7,,,233.7669856,,,,,
0.701,,,233.9368269,,,,,
0.702,,,234.1068519,,,,,
0.703,,,234.2770621,,,,,
0.704,,,234.4474591,,,,,
0.705,,,234.6180445,,,,,
0.706,,,234.7888199,,,,,
0.707,,,234.9597867,,,,,
0.708,,,235.1309467,,,,,
0.709,,,235.3023012,,,,,
0.71,,,235.473852,,,,,
0.711,,,235.6456006,,,,,
0.712,,,235.8175484,,,,,
0.713,,,235.9896972,,,,,
0.714,,,236.1620484,,,,,
0.715,,,236.3346036,,,,,
0.716,,,236.5073644,,,,,
0.717,,,236.6803323,,,,,
0.718,,,236.8535088,,,,,
0.719,,,237.0268957,,,,,
0.72,,,237.2004943,,,,,
0.721,,,237.3743062,,,,,
0.722,,,237.5483331,,,,,
0.723,,,237.7225765,,,,,
0.724,,,237.8970378,,,,,
0.725,,,238.0717187,,,,,
0.726,,,238.2466208,,,,,
0.727,,,238.4217455,,,,,
0.728,,,238.5970945,,,,,
0.729,,,238.7726692,,,,,
0.73,,,238.9484713,,,,,
0.731,,,239.1245022,,,,,
0.732,,,239.3007636,,,,,
0.733,,,239.477257,,,,,
0.734,,,239.6539839,,,,,
0.735,,,239.8309459,,,,,
0.736,,,240.0081445,,,,,
0.737,,,240.1855813,,,,,
0.738,,,240.3632578,,,,,
0.739,,,240.5411757,,,,,
0.74,,,240.7193363,,,,,
0.741,,,240.8977414,,,,,
0.742,,,241.0763923,,,,,
0.743,,,241.2552908,,,,,
0.744,,,241.4344382,,,,,
0.745,,,241.6138363,,,,,
0.746,,,241.7934864,,,,,
0.747,,,241.9733902,,,,,
0.748,,,242.1535493,,,,,
0.749,,,242.3339651,,,,,
0.75,,,242.5146392,,,,,
0.751,,,242.6955731,,,,,
0.752,,,242.8767685,,,,,
0.753,,,243.0582268,,,,,
0.754,,,243.2399496,,,,,
0.755,,,243.4219385,,,,,
0.756,,,243.6041949,,,,,
0.757,,,243.7867205,,,,,
0.758,,,243.9695168,,,,,
0.759,,,244.1525853,,,,,
0.76,,,244.3359275,,,,,
0.761,,,244.5195452,,,,,
0.762,,,244.7034397,,,,,
0.763,,,244.8876126,,,,,
0.764,,,245.0720655,,,,,
0.765,,,245.2567999,,,,,
0.766,,,245.4418174,,,,,
0.767,,,245.6271195,,,,,
0.768,,,245.8127078,,,,,
0.769,,,245.9985838,,,,,
0.77,,,246.184749,,,,,
0.771,,,246.3712051,,,,,
0.772,,,246.5579536,,,,,
0.773,,,246.744996,,,,,
0.774,,,246.9323338,,,,,
0.775,,,247.1199687,,,,,
0.776,,,247.3079021,,,,,
0.777,,,247.4961357,,,,,
0.778,,,247.6846709,,,,,
0.779,,,247.8735094,,,,,
0.78,,,248.0626527,,,,,
0.781,,,248.2521023,,,,,
0.782,,,248.4418598,,,,,
0.783,,,248.6319268,,,,,
0.784,,,248.8223047,,,,,
0.785,,,249.0129953,,,,,
0.786,,,249.2039999,,,,,
0.787,,,249.3953202,,,,,
0.788,,,249.5869578,,,,,
0.789,,,249.7789141,,,,,
0.79,,,249.9711908,,,,,
0.791,,,250.1637894,,,,,
0.792,,,250.3567115,,,,,
0.793,,,250.5499586,,,,,
0.794,,,250.7435323,,,,,
0.795,,,250.9374341,,,,,
0.796,,,251.1316657,,,,,
0.797,,,251.3262286,,,,,
0.798,,,251.5211243,,,,,
0.799,,,251.7163544,,,,,
0.8,,,251.9119205,,,,,
0.801,,,252.1078241,,,,,
0.802,,,252.3040668,,,,,
0.803,,,252.5006503,,,,,
0.804,,,252.6975759,,,,,
0.805,,,252.8948454,,,,,
0.806,,,253.0924603,,,,,
0.807,,,253.2904221,,,,,
0.808,,,253.4887325,,,,,
0.809,,,253.687393,,,,,
0.81,,,253.8864052,,,,,
0.811,,,254.0857706,,,,,
0.812,,,254.2854909,,,,,
0.813,,,254.4855676,,,,,
0.814,,,254.6860022,,,,,
0.815,,,254.8867965,,,,,
0.816,,,255.0879519,,,,,
0.817,,,255.28947,,,,,
0.818,,,255.4913525,,,,,
