,commercial
966,-182.8162597
967,-240.2840113
968,-187.6207811
969,-179.6863562
970,-152.3028687
971,-134.2714301
972,-124.0761426
973,-124.5292342
974,-118.3987645
975,-112.9106807
976,-111.6582339
977,-136.828044
978,-182.6198195
979,-182.567008
980,-199.2240633
981,-234.4515983
982,-189.3547927
983,-133.9705073
984,-111.0034076
985,-95.84626402
986,-86.92663529
987,-78.92798368
988,-85.0947708
989,-93.78545186
990,-115.4798026
991,-174.663713
992,-259.3027092
993,-258.4748643
994,-231.2436697
995,-234.1187355
996,-231.5806028
997,-230.5328298
998,-240.7628912
999,-246.3507192
1000,-214.7173455
1001,-116.2719311
1002,-149.7380126
1003,-191.9263759
1004,-222.4938833
1005,-262.6505427
1006,-261.588258
1007,-175.8294937
1008,-132.3651004
1009,-112.1341545
1010,-101.4148257
1011,-95.52751136
1012,-98.5010972
1013,-103.538454
1014,-126.2763067
1015,-186.5634185
1016,-264.3882125
1017,-258.9023222
1018,-244.0272351
1019,-209.7958762
1020,-200.7464888
1021,-207.5800059
1022,-215.6805566
1023,-211.8283577
1024,-182.9839244
1025,-175.0876652
1026,-195.333789
1027,-226.8730104
1028,-248.6424292
1029,-263.7927009
1030,-262.7664473
1031,-179.6414854
1032,-135.2433155
1033,-112.5072407
1034,-103.0127133
1035,-97.54142916
1036,-100.7228714
1037,-120.0927073
1038,-188.4236418
1039,-246.2157018
1040,-204.1101254
1041,-208.6282828
1042,-196.5787014
1043,-214.9197903
1044,-172.4911936
1045,-126.9971217
1046,-161.9323398
1047,-192.0899166
1048,-184.3637794
1049,-182.1881001
1050,-220.7572578
1051,-259.814292
1052,-266.8643155
1053,-268.3526409
1054,-217.9981811
1055,-155.3011716
1056,-127.7023296
1057,-109.6557543
1058,-101.396581
1059,-96.25521312
1060,-99.66519583
1061,-121.7021937
1062,-192.563477
1063,-252.4025655
1064,-218.6553301
1065,-241.2314475
1066,-251.7312351
1067,-264.7578426
1068,-265.9524784
1069,-266.1553081
1070,-265.4322516
1071,-265.9073679
1072,-245.8250192
1073,-226.2867584
1074,-256.3084842
1075,-245.6135838
1076,-257.9878819
1077,-265.7975657
1078,-228.6900254
1079,-162.2244976
1080,-136.9984606
1081,-120.7687665
1082,-112.0251352
1083,-106.7250317
1084,-108.3945526
1085,-128.2985186
1086,-199.2844303
1087,-258.9989454
1088,-228.415128
1089,-253.7979354
1090,-264.2692979
1091,-265.7204163
1092,-265.4650142
1093,-263.5849314
1094,-269.1954012
1095,-277.4390063
1096,-274.2954027
1097,-221.1430319
1098,-250.4511225
1099,-263.3631958
1100,-266.1762681
1101,-263.3057396
1102,-248.987377
1103,-186.1241517
1104,-157.4957939
1105,-138.5706509
1106,-127.2894885
1107,-120.9030137
1108,-122.0561628
1109,-142.6408455
1110,-217.3505334
1111,-263.1986175
1112,-210.8969898
1113,-177.3884587
1114,-155.6531812
1115,-221.3893935
1116,-263.1906671
1117,-239.4125538
1118,-241.6654658
1119,-244.5630723
1120,-215.5324361
1121,-217.2106683
1122,-251.3060636
1123,-242.7304064
1124,-262.7792052
1125,-265.4929759
1126,-228.8854989
1127,-163.9362707
1128,-136.2304189
1129,-121.5889268
1130,-116.2742829
1131,-103.2629548
1132,-106.7143573
1133,-133.0164202
1134,-201.3958145
1135,-260.1131929
1136,-198.5205526
1137,-177.978261
1138,-169.0215084
1139,-153.7468316
1140,-138.8809075
1141,-137.5893656
1142,-144.8984091
1143,-144.5818635
1144,-135.8169228
1145,-162.3052241
1146,-206.1433425
1147,-192.2889877
1148,-221.3170844
1149,-251.1571535
1150,-202.1604354
1151,-149.5612419
1152,-127.0169281
1153,-114.805744
1154,-107.5277741
1155,-93.86160171
1156,-97.65621617
1157,-109.9633048
1158,-133.5366702
1159,-195.0551436
1160,-260.5103452
1161,-260.2598917
1162,-188.910279
1163,-162.58253
1164,-163.4609336
1165,-164.3143901
1166,-202.6811307
1167,-210.5446076
1168,-179.9314021
1169,-175.8770062
1170,-207.1258652
1171,-242.4063518
1172,-257.1006744
1173,-238.7691097
1174,-241.494433
1175,-181.9854208
1176,-148.03257
1177,-125.7694977
1178,-114.0151379
1179,-107.7353013
1180,-113.6170049
1181,-121.1268824
1182,-142.3663834
1183,-202.9678546
1184,-261.3937309
1185,-265.4547627
1186,-246.5579112
1187,-248.2837518
1188,-238.1926611
1189,-210.1379459
1190,-242.4334883
1191,-264.4925957
1192,-226.1167375
1193,-201.6887952
1194,-214.8290238
1195,-244.6237683
1196,-264.8148146
1197,-260.539811
1198,-244.6473507
1199,-177.0972909
1200,-139.0267816
1201,-121.9038967
1202,-110.7064011
1203,-95.41601865
1204,-99.6231814
1205,-111.3481746
1206,-132.321619
1207,-193.2796618
1208,-263.2718538
1209,-266.2000993
1210,-259.6254241
1211,-224.8265224
1212,-185.5498141
1213,-234.1880222
1214,-253.5591087
1215,-243.8568839
1216,-199.2098436
1217,-192.2228386
1218,-216.2721753
1219,-246.853736
1220,-266.7220591
1221,-267.1171841
1222,-258.3372539
1223,-184.7100359
1224,-130.2427594
1225,-109.7041723
1226,-101.1814376
