,domestic,commercial
4588,64.3573851,64.3573851
4589,64.6936908,64.6936908
4590,65.1320987,65.1320987
4591,65.674714,65.674714
4592,66.322063,66.322063
4593,66.9888851,66.9888851
4594,67.5278163,67.5278163
4595,67.8920159,67.8920159
4596,68.1156934,68.1156934
4597,68.2141115,68.2141115
4598,68.2299005,68.2299005
4599,68.21148,68.21148
4600,68.0920099,68.0920099
4601,67.8414911,67.8414911
4602,67.4120303,67.4120303
4603,66.7046831,66.7046831
4604,65.8541823,65.8541823
4605,65.3620918,65.3620918
4606,64.9068423,64.9068423
4607,64.6173773,64.6173773
4608,64.4352775,64.4352775
4609,64.3084392,64.3084392
4610,64.1773905,64.1773905
4611,64.0321317,64.0321317
4612,64.406331,64.406331
4613,65.2173593,65.2173593
4614,66.0920699,66.0920699
4615,67.1515118,67.1515118
4616,68.0830628,68.0830628
4617,68.879881,68.879881
4618,69.73775,69.73775
4619,70.337732,70.337732
4620,70.6519331,70.6519331
4621,70.8329803,70.8329803
4622,70.8629794,70.8629794
4623,70.7471934,70.7471934
4624,70.4456235,70.4456235
4625,70.1030022,70.1030022
4626,69.4467061,69.4467061
4627,68.5577854,68.5577854
4628,67.9104364,67.9104364
4629,67.5088695,67.5088695
4630,67.1783531,67.1783531
4631,66.9078349,66.9078349
4632,66.6994201,66.6994201
4633,66.5320567,66.5320567
4634,66.3941661,66.3941661
4635,66.2568018,66.2568018
4636,66.3046951,66.3046951
4637,66.5688977,66.5688977
4638,66.9415181,66.9415181
4639,67.4893964,67.4893964
4640,68.1556922,68.1556922
4641,68.8598816,68.8598816
4642,69.3424987,69.3424987
4643,69.6309111,69.6309111
4644,69.637753,69.637753
4645,69.4988098,69.4988098
4646,69.3361831,69.3361831
4647,69.0151401,69.0151401
4648,68.6188362,68.6188362
4649,68.1077989,68.1077989
4650,67.5236059,67.5236059
4651,66.6820522,66.6820522
4652,65.7705006,65.7705006
4653,65.3120933,65.3120933
4654,64.9178946,64.9178946
4655,64.5736944,64.5736944
4656,64.2842294,64.2842294
4657,64.0573941,64.0573941
4658,63.9152931,63.9152931
4659,63.8289799,63.8289799
4660,63.8374007,63.8374007
