,domestic,commercial
7282,0.295737385,0.295737385
7283,0.375794281,0.375794281
7284,0.436613882,0.436613882
7285,0.412982033,0.412982033
7286,0.301692473,0.301692473
7287,0.157127299,0.157127299
7288,0.028686408,0.028686408
7289,0,0
7290,0,0
7291,0,0
7292,0,0
7293,0,0
7294,0,0
7295,0,0
7296,0,0
7297,0,0
7298,0,0
7299,0,0
7300,0,0
7301,0,0
7302,0,0
7303,0.005176169,0.005176169
7304,0.05343551,0.05343551
7305,0.022277152,0.022277152
7306,0.06584734,0.06584734
7307,0.37006661,0.37006661
7308,0.473957035,0.473957035
7309,0.413170609,0.413170609
7310,0.290582844,0.290582844
7311,0.15191162,0.15191162
7312,0.027132446,0.027132446
7313,0,0
7314,0,0
7315,0,0
7316,0,0
7317,0,0
7318,0,0
7319,0,0
7320,0,0
7321,0,0
7322,0,0
7323,0,0
7324,0,0
7325,0,0
7326,0,0
7327,0.006487,0.006487
7328,0.061752497,0.061752497
7329,0.038504636,0.038504636
7330,0.018984158,0.018984158
7331,0.047950994,0.047950994
7332,0.072352761,0.072352761
7333,0.132755414,0.132755414
7334,0.051158953,0.051158953
7335,0.048869994,0.048869994
7336,0.018715993,0.018715993
7337,0,0
7338,0,0
7339,0,0
7340,0,0
7341,0,0
7342,0,0
7343,0,0
7344,0,0
7345,0,0
7346,0,0
7347,0,0
7348,0,0
7349,0,0
7350,0,0
7351,0.010064768,0.010064768
7352,0.04766205,0.04766205
7353,0.04399578,0.04399578
7354,0.04731241,0.04731241
7355,0.053090696,0.053090696
7356,0.046907855,0.046907855
7357,0.029860604,0.029860604
7358,0.037442047,0.037442047
7359,0.037842981,0.037842981
7360,0.008064527,0.008064527
7361,0,0
7362,0,0
7363,0,0
7364,0,0
7365,0,0
7366,0,0
7367,0,0
7368,0,0
7369,0,0
7370,0,0
7371,0,0
7372,0,0
7373,0,0
7374,0,0
7375,0.023777115,0.023777115
7376,0.184905397,0.184905397
7377,0.298152974,0.298152974
7378,0.423921885,0.423921885
7379,0.483485779,0.483485779
7380,0.491827428,0.491827428
7381,0.376904799,0.376904799
7382,0.306077815,0.306077815
7383,0.175103582,0.175103582
7384,0.022857466,0.022857466
7385,0,0
7386,0,0
7387,0,0
7388,0,0
7389,0,0
7390,0,0
7391,0,0
7392,0,0
7393,0,0
7394,0,0
7395,0,0
7396,0,0
7397,0,0
7398,0,0
7399,0.000599775,0.000599775
7400,0.064194296,0.064194296
7401,0.066287672,0.066287672
7402,0.202475255,0.202475255
7403,0.076789441,0.076789441
7404,0.065782241,0.065782241
7405,0.25188392,0.25188392
7406,0.109731823,0.109731823
7407,0.035691639,0.035691639
7408,0.004323907,0.004323907
7409,0,0
7410,0,0
7411,0,0
7412,0,0
7413,0,0
7414,0,0
7415,0,0
7416,0,0
7417,0,0
7418,0,0
7419,0,0
7420,0,0
7421,0,0
7422,0,0
7423,0.013273108,0.013273108
7424,0.128021248,0.128021248
7425,0.271695766,0.271695766
7426,0.386850343,0.386850343
7427,0.293540022,0.293540022
7428,0.178353779,0.178353779
7429,0.100104907,0.100104907
7430,0.066896091,0.066896091
7431,0.086756397,0.086756397
7432,0.013798414,0.013798414
7433,0,0
7434,0,0
7435,0,0
7436,0,0
7437,0,0
7438,0,0
7439,0,0
7440,0,0
7441,0,0
7442,0,0
7443,0,0
7444,0,0
7445,0,0
7446,0,0
7447,0.007684993,0.007684993
